CHC,Latitude,Longitude,Address,SA1,SA2_CODE,SA2_NAME,SA3_NAME,SA4_NAME,GCCSA_NAME,STATE_NAME,IARE_CODE,IARE_NAME,IREG_CODE,IREG_NAME
PIRLANGIMPI,-11.4049328,130.4173921,"Pirlangimpi, Tiwi Islands Region, Northern Territory, 0822, Australia",70203106004,702031060,Tiwi Islands,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory,704006,Tiwi Islands,704,Jabiru - Tiwi
PMARA JUTUNTA,-22.2081247,133.4313954,"Pmara Jutunta, Central Desert Region, Northern Territory, Australia",70201105407,702011054,Yuendumu - Anmatjere,Alice Springs,Northern Territory - Outback,Rest of NT,Northern Territory,709003,Anmatjere,709,Apatula
RAMINGINING,-12.3280046,134.9299289,"Ramingining, East Arnhem Region, Northern Territory, 0822, Australia",70204106318,702041063,East Arnhem,East Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory,706007,Ramingining - Milingimbi and Outstations,706,Nhulunbuy
ROBINSON RIVER,-16.7594805,136.9808663,"Robinson River, Roper Gulf Region, Northern Territory, 0852, Australia",70205106611,702051066,Gulf,Katherine,Northern Territory - Outback,Rest of NT,Northern Territory,705004,Gulf,705,Katherine
RURRUNGALA,,,Not found,,,,,,,,,,,
SANTA TERESA,-24.1292532,134.3730221,"Santa Teresa, Macdonnell Region, Northern Territory, Australia",70201105204,702011052,Sandover - Plenty,Alice Springs,Northern Territory - Outback,Rest of NT,Northern Territory,709001,Amoonguna - Santa Teresa - Titjikala,709,Apatula
STIRLING,-21.7233988,133.7576837,"Stirling, Stirling Homestead, Anmatjere, Central Desert Region, Northern Territory, 0872, Australia",70201105410,702011054,Yuendumu - Anmatjere,Alice Springs,Northern Territory - Outback,Rest of NT,Northern Territory,709003,Anmatjere,709,Apatula
TARA,-21.4835455,133.9996035,"Tara, Barkly Region, Northern Territory, 0872, Australia",70202105509,702021055,Barkly,Barkly,Northern Territory - Outback,Rest of NT,Northern Territory,707003,Barkly,707,Tennant Creek
TENNANT CREEK,-19.6481652,134.1899847,"Tennant Creek, Barkly Region, Northern Territory, 0860, Australia",70202105601,702021056,Tennant Creek,Barkly,Northern Territory - Outback,Rest of NT,Northern Territory,707005,Tennant Creek Town,707,Tennant Creek
TI TREE,-22.1295261,133.417508,"Ti Tree, Central Desert Region, Northern Territory, 0872, Australia",70201105406,702011054,Yuendumu - Anmatjere,Alice Springs,Northern Territory - Outback,Rest of NT,Northern Territory,709003,Anmatjere,709,Apatula
TIMBER CREEK,-15.6562054,130.4805463,"Timber Creek, Victoria Daly Region, Northern Territory, 0852, Australia",70205106802,702051068,Victoria River,Katherine,Northern Territory - Outback,Rest of NT,Northern Territory,705008,Victoria River,705,Katherine
UMBAKUMBA,-13.8606295,136.8047384,"Umbakumba, Groote Archipelago Region, Northern Territory, 0822, Australia",70204106203,702041062,Anindilyakwa,East Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory,706001,Anindilyakwa (Groote),706,Nhulunbuy
URAPUNTJA,-21.8997652,134.8405077,"Urapuntja Health Service, Sandover Highway, Costello, Atnwengerrpe, Barkly Region, Northern Territory, Australia",70201105213,702011052,Sandover - Plenty,Alice Springs,Northern Territory - Outback,Rest of NT,Northern Territory,709012,Urapuntja,709,Apatula
