CHC,Latitude,Longitude,Address,SA1,SA2_CODE,SA2_NAME,SA3_NAME,SA4_NAME,GCCSA_NAME,STATE_NAME
"Lake Nash, NT, Australia",-20.9841539,137.8479596,"Alpurrurulam, Barkly Region, Northern Territory, 4825, Australia",70202105507.0,702021055.0,Barkly,Barkly,Northern Territory - Outback,Rest of NT,Northern Territory
"Laramba, NT, Australia",-22.5424515,132.7619848,"Laramba, Central Desert Region, Northern Territory, 0872, Australia",70201105405.0,702011054.0,Yuendumu - Anmatjere,Alice Springs,Northern Territory - Outback,Rest of NT,Northern Territory
"Laynhapuy, NT, Australia",-12.86127,136.233356,"Laynhapuy - Stage 1 Indigenous Protected Area, Northern Territory, Australia",70204106304.0,702041063.0,East Arnhem,East Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory
"Maningrida, NT, Australia",-12.0571775,134.226992,"Maningrida, West Arnhem Region, Northern Territory, 0822, Australia",70203106103.0,702031061.0,West Arnhem,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory
"Manyallaluk, NT, Australia",-14.2693146,132.8317045,"Manyallaluk, Nitmiluk, Roper Gulf Region, Northern Territory, Australia",70205106505.0,702051065.0,Elsey,Katherine,Northern Territory - Outback,Rest of NT,Northern Territory
"Marthakal, NT, Australia",-12.1608507,136.1719082,"Marthakal, East Arnhem, East Arnhem Region, Northern Territory, Australia",70204106306.0,702041063.0,East Arnhem,East Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory
"Maryvale, NT, Australia",-24.6727873,134.0752734,"Titjikala, Macdonnell Region, Northern Territory, Australia",70201105206.0,702011052.0,Sandover - Plenty,Alice Springs,Northern Territory - Outback,Rest of NT,Northern Territory
"Mataranka, NT, Australia",-14.9278841,133.069058,"Mataranka, Roper Gulf Region, Northern Territory, 0852, Australia",70205106512.0,702051065.0,Elsey,Katherine,Northern Territory - Outback,Rest of NT,Northern Territory
"Mialuni, NT, Australia",,,Not found,,,,,,,
"Milikapiti, NT, Australia",-11.4220626,130.6741662,"Milikapiti, Tiwi Islands Region, Northern Territory, 0822, Australia",70203106005.0,702031060.0,Tiwi Islands,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory
"Milingimbi, NT, Australia",-12.10003,134.9144336,"Milingimbi, East Arnhem Region, Northern Territory, 0822, Australia",70204106305.0,702041063.0,East Arnhem,East Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory
"Miniyeri, NT, Australia",-15.228675,134.0835449,"Miniyeri, Minyerri, Roper Gulf Region, Northern Territory, 0852, Australia",70205106606.0,702051066.0,Gulf,Katherine,Northern Territory - Outback,Rest of NT,Northern Territory
"Minjilang, NT, Australia",-11.1441885,132.5728195,"Minjilang, West Arnhem Region, Northern Territory, 0822, Australia",70203106102.0,702031061.0,West Arnhem,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory
"Mt Liebig, NT, Australia",-23.28883,131.36449,"Mount Liebig, Macdonnell Region, Northern Territory, Australia",70201105304.0,702011053.0,Tanami,Alice Springs,Northern Territory - Outback,Rest of NT,Northern Territory
"Mutitjulu, NT, Australia",-25.3490961,131.0642728,"Mutitjulu, Macdonnell Region, Northern Territory, 0872, Australia",70201105003.0,702011050.0,Petermann - Simpson,Alice Springs,Northern Territory - Outback,Rest of NT,Northern Territory
"Nganmarriyanga, NT, Australia",-14.3507558,129.8800459,"Nganmarriyanga, West Daly Region, Northern Territory, 0822, Australia",70203105804.0,702031058.0,Daly,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT,Northern Territory
